"StoreId","ClusterId"
864,29
865,46
880,33
891,53
893,45
896,45
903,45
905,33
909,25
912,5
915,53
917,34
918,41
919,45
922,45
924,9
925,41
926,17
927,33
928,5
929,17
931,10
932,45
934,5
936,57
937,25
940,13
941,30
942,29
944,13
947,25
948,45
949,53
950,9
951,9
954,17
955,21
958,13
959,21
961,45
962,45
964,46
965,41
966,25
967,25
970,37
971,41
972,42
973,61
974,57
976,58
977,46
978,9
979,34
983,38
985,57
986,42
987,17
988,17
989,54
991,58
993,26
994,50
995,45
996,30
997,30
999,62
1000,30
1001,62
1002,17
1004,59
1005,54
1007,42
1008,55
1009,63
1010,3
1012,11
1013,7
1014,39
1015,27
1016,19
1017,31
1018,47
1019,31
1020,35
1021,47
1023,11
1024,35
1025,18
1026,19
1027,34
1029,34
1035,18
1037,34
1039,51
1040,43
1042,42
1043,39
1045,34
1046,18
1048,18
1055,34
1057,35
1058,35
1059,27
1060,11
1061,23
1063,47
1064,47
1065,27
1066,44
1067,35
1068,31
1070,55
1071,48
1072,11
1073,47
1074,32
1075,35
1076,56
1077,60
1078,19
1079,60
1080,23
1081,31
1082,7
1083,39
1085,11
1086,59
1087,19
1088,23
1089,43
1090,39
1091,59
1093,15
1094,60
1095,44
1097,56
1098,39
1100,27
1101,43
1102,27
1103,40
1104,12
1105,28
1106,64
1107,44
1108,47
1111,11
1113,7
1114,56
1115,32
1116,40
1118,32
1119,28
1122,27
1123,27
1125,59
1126,12
1127,23
1128,39
1129,31
1130,51
1131,39
1132,19
1133,28
1135,27
1136,11
1137,20
1138,12
1139,48
1140,4
1142,11
1143,64
1144,28
1146,43
1147,11
1151,8
1152,44
1154,32
1156,11
1157,32
1158,28
1159,32
1160,12
1161,44
1162,31
1164,48
1165,32
1166,20
1169,19
1170,32
1171,28
1174,15
1175,47
1176,39
1177,32
1179,20
1180,32
1182,28
1185,28
1186,4
1187,11
1188,12
1190,28
1191,20
1192,8
1193,44
1194,32
1195,32
1196,44
1197,28
1198,56
1201,40
1202,27
1204,40
1206,23
1208,11
1209,8
1210,43
1214,32
1216,27
1217,27
1218,27
1219,47
1220,7
1222,28
1223,60
1224,36
1225,56
1227,28
1228,19
1229,11
1230,19
1233,36
1234,40
1235,35
1236,12
1238,24
1239,11
1240,36
1241,19
1243,36
1244,56
1250,60
